name1,name2,street1,street2,city,state,zip,zip4,county,phone,website,latitude,longitude,type_facility
Integrated BH Management Inc,,8430 Medical Plaza Drive,Suite 300,Charlotte,NC,28262,,Mecklenburg,704-910-6142,https://www.ibhmgmt.org,35.3205458,-80.7750386,SU
Absolute Advocacy LLC,,1923 J N Pease Place,Suite 102,Charlotte,NC,28262,,Mecklenburg,704-215-4095,https://www.absoluteadvocacy.org,35.3205583,-80.7725568,SU
Charlotte Community Health, Clinic,"8401 Medical Plaza Dr, Suite 300",,Charlotte,NC,28262,8702,,704-316-6561,https://charlottecommunityhealthclinic.org/,35.31910255,-80.7767231,HRSA
New Leaf Adolescent Care Inc,Corporate,1945 J N Pease Place,Suite 102,Charlotte,NC,28262,,Mecklenburg,704-405-8890,https://www.newleafinc.info,35.3204637,-80.7721218,MH
Charlotte Community Health, Clinic - University,8401 Medical Plaza Dr STE 200,,Charlotte,NC,28262,8701,,704-316-6561,,35.31884196,-80.77586689,HRSA
Kintegra at Sherrills Ford, Elementary,8103 Sherrills Ford Rd,,Sherrills Ford,NC,28673,7313,,828-478-2662,https://www.kintegra.org,35.62151831,-80.98772485,HRSA
Harmony Recovery Center,,11403 North Tryon Street,,Charlotte,NC,28262,,Mecklenburg,704-970-4106,https://harmonyrecoverync.com,35.3355303,-80.7164397,MH
Harmony Recovery Center,,11403 North Tryon Street,,Charlotte,NC,28262,,Mecklenburg,704-970-4106,https://harmonyrecoverync.com,35.3355303,-80.7164397,SU
Kintegra at Pinewood, Elementary,1925 N Main St,,Mount Holly,NC,28120,9158,,704-836-9138,https://www.kintegra.org,35.32909822,-80.99919306,HRSA
Kintegra at Turning Point, Middle,2300 W Sugar Creek Rd,,Charlotte,NC,28262,3199,,980-343-5681,https://www.kintegra.org,35.2950112,-80.79657346,HRSA
Carolina Outreach,Charlotte,301 McCullough Drive,Suite 520,Charlotte,NC,28262,,Mecklenburg,704-332-8787,https://www.carolinaoutreach.com,35.301393,-80.7573702,MH
Dreams and Visions,DBA New Vision Home II,3430 Dalecrest Drive,,Charlotte,NC,28269,,Mecklenburg,704-281-7261,https://,35.2836683,-80.822046,MH
AMG - N Tryon Rd,,7945 N Tryon St STE 112,,Charlotte,NC,28262,3587,,704-764-1387,https://amitymed.org,35.29693389,-80.7549387,HRSA
Genesis Project 1 Inc,,5104 Reagan Drive,Suite 5,Charlotte,NC,28206,,Mecklenburg,704-596-0505 x102,https://www.genproject1.com,35.276591,-80.7962346,MH
Troyer Medical,,107 South Central Avenue,,Landis,NC,28088,,Rowan,704-855-2101,https://troyeraddictionmedicine.org,35.5461601,-80.6095554,SU
CMC Northeast,Partial Hospitalization Program,675 Memorial Boulevard,Suite 102,Concord,NC,28025,2402,Cabarrus,704-403-1831,https://atriumhealth.org,35.4380102,-80.6024255,MH
Daymark Recovery Services,Cabarrus Center,284 Executive Park Drive,Suite 100,Concord,NC,28025,,Cabarrus,704-939-1100 x1272,https://www.daymarkrecovery.org,35.4525795,-80.598832,SU
Daymark Recovery Services,Cabarrus Center,284 Executive Park Drive,Suite 100,Concord,NC,28025,,Cabarrus,704-939-1100 x1272,https://www.daymarkrecovery.org,35.4525795,-80.598832,MH
CRCHC Patterson Farm, Migrant Clinic,3060 Millbridge Rd,,China Grove,NC,28023,7716,,704-855-5200 x5214,https://www.crchc.org,35.61533355,-80.65283538,HRSA
Southeastern Recovery Center,,1018 Lee Ann Drive NE,,Concord,NC,28025,,Cabarrus,704-848-5724,https://www.serecoverycenter.com,35.4435826,-80.5980084,SU
McLeod Centers for Wellbeing,Concord,300 Copperfield Boulevard,Suite 105,Concord,NC,28025,,Cabarrus,704-332-9001,https://www.mcleodcenters.org,35.4459976,-80.5973467,SU
Sugar Creek Health Center,,721 W Sugar Creek Rd,,Charlotte,NC,28213,6163,,704-792-2242,https://www.crchc.org,35.26929569,-80.79500671,HRSA
Genesis A New Beginning,,245 Le Phillip Court NE,,Concord,NC,28025,,Cabarrus,704-720-7770,https://www.genesis-anb.com,35.4416945,-80.5953914,SU
Genesis A New Beginning,,245 Le Phillip Court NE,,Concord,NC,28025,,Cabarrus,704-720-7770,https://www.genesis-anb.com,35.4416945,-80.5953914,MH
Kintegra at Turning Point, Academy,8701 Moores Chapel Rd,,Charlotte,NC,28214,1555,,980-343-5681,https://www.kintegra.org,35.27390159,-80.95057064,HRSA
Kintegra at Community, Public Charter School,185 Mariposa Rd,,Stanley,NC,28164,9645,,704-931-4418,https://www.kintegra.org,35.37309081,-81.09463091,HRSA
CRCHC Administrative, Auxiliary Offices,212B Mcgill Ave NW,,Concord,NC,28025,4615,,704-792-2242,https://crchc.org,35.41665203,-80.59745867,HRSA
MCGILL FAMILY MEDICINE,,202D McGill Ave NW,,Concord,NC,28025,,,704-792-2242,https://www.crchc.org,35.41728959,-80.59720712,HRSA
CRCHC Mobile Dental Unit,,202D McGill Ave NW,,Concord,NC,28025,,,704-792-2203,https://www.crchc.org,35.41728959,-80.59720712,HRSA
CRCHC Mobile Unit,,202D McGill Ave NW,,Concord,NC,28025,,,704-792-2203,https://www.crchc.org,35.41728959,-80.59720712,HRSA
Kintegra at Rankin, Elementary,301 W Central Ave,,Mount Holly,NC,28120,1607,,704-836-9136,https://www.kintegra.org,35.29785841,-81.02021001,HRSA
Kintegra at Kiser, Elementary,314 E College St,,Stanley,NC,28164,,,704-836-9105,https://www.kintegra.org,35.36115542,-81.09267968,HRSA
Kintegra at Mt. Holly, Middle,124 S Hawthorne St,,Mount Holly,NC,28120,1699,,704-836-9610,https://www.kintegra.org,35.29706867,-81.02366251,HRSA
Kintegra at Pumpkin Center, Intermediate,3980 King Wilkinson Rd,,Lincolnton,NC,28092,8191,,704-736-1504,https://www.kintegra.org,35.51693919,-81.13511081,HRSA
Hope Haven Inc,,3815 North Tryon Street,,Charlotte,NC,28206,,Mecklenburg,704-372-8809,https://www.hopehaveninc.org,35.2560542,-80.8004464,SU
Kintegra at Pumpkin Center, Primary,3970 King Wilkinson Rd,,Lincolnton,NC,28092,8191,,704-736-1394,https://www.kintegra.org,35.51754943,-81.13618998,HRSA
Kintegra at Stanley Middle,,317 Hovis Rd,,Stanley,NC,28164,1413,,704-836-9600,https://www.kintegra.org,35.3669255,-81.10431344,HRSA
Kintegra at Springfield, Elementary,900 S Main St,,Stanley,NC,28164,2262,,704-836-9106,https://www.kintegra.org,35.347949,-81.09623345,HRSA
China Grove Family Medicine,,307 East Thom Street,,China Grove,NC,28023,2363,,704-855-5200,https://www.crchc.org,35.56011425,-80.58508706,HRSA
Absolute Advocacy LLC,,3 Union Street South,Suite 210,Concord,NC,28025,,Cabarrus,704-215-4095,https://www.absoluteadvocacy.org,35.4104957,-80.5810137,SU
"Zenith Hope Center, LLC",Zenith Hope Center,508 Eastway Drive,,Charlotte,NC,28205,,,704-248-0246,,35.2507765,-80.781211,OTP
Zenith Hope Center LLC,,508 Eastway Drive,,Charlotte,NC,28205,,Mecklenburg,704-248-0246 x1001,https://www.zenithhopecenter.com/,35.2507765,-80.781211,SU
Resource Center at, Salvation Army,216 Patterson Avenue Southeast,,Concord,NC,28025,3518,,704-792-2315,https://www.crchc.org,35.41480721,-80.57448026,HRSA
CRCHC Homeless Clinic at, Salvation Army Concord,45 Ashlyn Drive Southeast,,Concord,NC,28025,3546,,704-792-2200,https://www.crchc.org,35.41449427,-80.57363855,HRSA
CRCHC at Shelter Health, Services,534 Spratt St,,Charlotte,NC,28206,2913,,704-792-2242,https://www.crchc.org,35.23984981,-80.83705168,HRSA
LOGAN FAMILY MEDICINE,,298 Lincoln St SW,,Concord,NC,28025,5469,,704-792-2242,https://www.crchc.org,35.39835043,-80.57964779,HRSA
Kintegra at East Gaston, High,1744 Lane Rd,,Mount Holly,NC,28120,9037,,704-836-9613,https://www.kintegra.org,35.31577188,-81.07554406,HRSA
Kintegra at Bandys High,,5040 E Bandys Xrd,,Catawba,NC,28609,,,828-241-1471,https://www.kintegra.org,35.64273799,-81.08487503,HRSA
Senior TLC - Charlotte,,6133 The Plz,,Charlotte,NC,28215,2401,,704-887-3840,https://www.pacesp.com,35.24946939,-80.75188894,HRSA
New Vision Home,,5004 Glenview Court,,Charlotte,NC,28215,,Mecklenburg,704-281-7261,https://,35.2438943,-80.7685507,MH
Charlotte Rescue Mission,Rebound,915 West 1st Street,,Charlotte,NC,28202,,Mecklenburg,704-334-4635,https://www.charlotterescuemission.org,35.229507,-80.8563745,SU
CRCHC at Charlotte Rescue, Mission,915 W 1st St,,Charlotte,NC,28202,1003,,704-792-2203,https://www.crchc.org,35.22950039,-80.8564707,HRSA
Kintegra at Mill Creek, Middle School,1041 Shiloh Rd,,Claremont,NC,28610,9202,,828-241-1494,https://www.kintegra.org,35.65060234,-81.08884011,HRSA
Kintegra at Catawba Heights, Elementary,101 Ivey St,,Belmont,NC,28012,2554,,704-836-9119,https://www.kintegra.org,35.27443661,-81.03724279,HRSA
Kintegra at Iron Station, Elementary,4207 E Highway 27,,Iron Station,NC,28080,8701,,704-736-4292,https://www.kintegra.org,35.45934064,-81.1674093,HRSA
Charlotte Community Health, Clinic: Atrium Mobile Health Unit,5301 Wilkinson Blvd,,Charlotte,NC,28208,5455,,704-316-6561,https://charlottecommunityhealth.org/en/,35.23170906,-80.92680845,HRSA
Charlotte Community Health, Clinic West,5301 Wilkinson Blvd,,Charlotte,NC,28208,5455,,704-316-6574,https://charlottecommunityhealthclinic.org/,35.23170906,-80.92680845,HRSA
Charlotte Community Health, Clinic Novant Mobile Health Unit,5301 Wilkinson Blvd,,Charlotte,NC,28208,5455,,704-316-6561,,35.23170906,-80.92680845,HRSA
McLeod Centers for Wellbeing,,300 Copperfield Blvd. Stes 105,,Concord,NC,28025,,,(704) 782-3131,,35.3949,-80.5606,OTP
Ophelia Garmon-Brown, Medical Clinic,3400 Shamrock Dr,,Charlotte,NC,28215,3212,,704-316-6561,https://charlottecommunityhealth.org/en/,35.23294744,-80.76988824,HRSA
Metro Treatment of North Carolina -Charlotte,Charlotte Treatment Center,3315 Wilkinson Blvd.,,Charlotte,NC,28208,,,(704) 697-0044,,35.224204,-80.894909,OTP
CWWCHC Medical Mobile Unit,,3333 Wilkinson Boulevard,,Charlotte,NC,28208,5631,,704-391-0819,https://www.cwwilliams.org,35.22417146,-80.89610068,HRSA
The C.W. Williams Community, Health Center Inc.,3333 Wilkinson Boulevard,,Charlotte,NC,28208,5631,,704-393-7720,https://www.cwwilliams.org,35.22417146,-80.89610068,HRSA
Dental Mobile Unit,,3333 Wilkinson Boulevard,,Charlotte,NC,28208,5631,,704-393-7720,,35.22417146,-80.89610068,HRSA
Charlotte Treatment Center,Metro Treatment of North Carolina LP,3315 Wilkinson Boulevard,,Charlotte,NC,28208,,Mecklenburg,704-697-0044,https://www.NewSeason.com/,35.2240138,-80.8952361,SU
Kintegra at North Belmont, Elementary,210 School St,,Belmont,NC,28012,2123,,704-836-9135,https://www.kintegra.org,35.27272343,-81.05020565,HRSA
Kintegra at CaroMont Women, Health - Belmont,"2000 Caromont Pkwy, Suite 400",,Belmont,NC,28012,0159,,704-865-7416,https://www.kintegra.org,35.2587759,-81.03389464,HRSA
Kintegra at Balls Creek, Elementary,2620 Balls Creek Rd,,Newton,NC,28658,8109,,828-464-4766,https://www.kintegra.org,35.63012007,-81.12808594,HRSA
Amity Medical Group Inc,,6010 East WT Harris Boulevardrd,Suite A,Charlotte,NC,28215,,Mecklenburg,704-270-6877,https://www.amitymed.org,35.2346899,-80.7339654,SU
AMG1 Harris Blvd,,6010 E W T Harris Blvd,,Charlotte,NC,28215,4084,,704-208-4134,https://amitymed.org,35.2346693,-80.73392971,HRSA
New Beginnings of the,Southern Piedmont LLC,1508 Cleveland Avenue,,Charlotte,NC,28203,,Mecklenburg,704-334-6574,https://www.newbeginningstreatmentcenter.org/,35.2135352,-80.8539313,MH
New Beginnings of the,Southern Piedmont LLC,1508 Cleveland Avenue,,Charlotte,NC,28203,,Mecklenburg,704-334-6574,https://www.newbeginningstreatmentcenter.org/,35.2135352,-80.8539313,SU
Kintegra at Tuttle, Elementary,2872 Water Plant Rd,,Maiden,NC,28650,9104,,828-428-3080,https://www.kintegra.org,35.5892378,-81.15749351,HRSA
Novant Presbyterian Medical Center,Behavioral Health Services,200 Hawthorne Lane,,Charlotte,NC,28204,,Mecklenburg,704-384-4000,https://www.novanthealth.org,35.2128384,-80.8233351,SU
Novant Presbyterian Medical Center,Behavioral Health Services,200 Hawthorne Lane,,Charlotte,NC,28204,,Mecklenburg,704-384-4000,https://www.novanthealth.org,35.2128384,-80.8233351,MH
Carolina Outpatient Detox,,1117 East Morehead Street,Suite 100,Charlotte,NC,28204,,Mecklenburg,704-665-7355,https://www.carolinaoutpatientdetox.com,35.2110503,-80.8406981,SU
Charlotte Community Health, Clinic - Express Care,3622 Central Ave,,Charlotte,NC,28205,5638,,704-316-6561,https://charlottecommunityhealth.org/en/,35.21556208,-80.78347246,HRSA
Atrium Health Mercy,Mercy Detox,2001 Vail Avenue,,Charlotte,NC,28207,,Mecklenburg,704-304-5248,https://atriumhealth.org/locations/detail/carolinas-medical-center-mercy-horizons,35.2100301,-80.8217625,SU
Day by Day Family Services,,6608 East WT Harris Boulevard,Suites C-D,Charlotte,NC,28215,,Mecklenburg,704-405-4265,https://www.daybydayfamilyservices.com,35.2295583,-80.728696,MH
Doves Nest Program,Womens Div/Charlotte Resuce Mission,2855 West Boulevard,,Charlotte,NC,28208,,Mecklenburg,704-332-3999 x114,https://www.charlotterescuemission.org,35.2075748,-80.9115275,SU
AMG - Randolph Rd,,2300 Randolph Rd,,Charlotte,NC,28207,1127,,704-624-8477,https://amitymed.org,35.20548921,-80.81987523,HRSA
Kintegra at Lowell, Elementary,1500 Power Dr,,Lowell,NC,28098,1236,,704-836-9118,https://www.kintegra.org,35.27818001,-81.09055002,HRSA
Kintegra at Catawba, Elementary,5415 Hudson Chapel Rd,,Catawba,NC,28609,9534,,828-241-3131,https://www.kintegra.org,35.69723782,-81.07336167,HRSA
Daymark Recovery Services Inc,,616 Colonnade Drive,,Charlotte,NC,28205,,Mecklenburg,704-273-3942,https://daymarkrecovery.org/locations/bhuc-mecklenburg,35.2049986,-80.8027477,MH
Daymark Recovery Services Inc,,616 Colonnade Drive,,Charlotte,NC,28205,,Mecklenburg,704-273-3942,https://daymarkrecovery.org/locations/bhuc-mecklenburg,35.2049986,-80.8027477,SU
Suite J Admin Only,,"800 Clanton Rd, Suite J",,Charlotte,NC,28217,1364,,704-393-7720 x3023,https://www.cwwilliams.org,35.1994539,-80.88320755,HRSA
C.W. Williams Community," Health Center, Inc.",800 Clanton Road,,Charlotte,NC,28217,1373,,704-393-7720 x1027,https://www.cwwilliams.org,35.19929901,-80.8830203,HRSA
Dilworth Center,,2240 Park Road,,Charlotte,NC,28203,,Mecklenburg,704-372-6969,https://www.dilworthcenter.org,35.198437,-80.8533991,SU
Kintegra at Catawba, Rosenwald Education Center,403 6th Ave SW,,Catawba,NC,28609,7811,,828-241-2734,https://www.kintegra.org,35.70238142,-81.07554784,HRSA
Insight Program,,920 Blairhill Road,Suite B-103,Charlotte,NC,28217,,Mecklenburg,704-679-9600,https://theinsightprogram.com/drug-alcohol-treatment-programs/charlotte-nc/,35.197891,-80.8856349,SU
Kintegra at Page Primary,,215 Ewing Dr,,Belmont,NC,28012,4130,,704-836-9116,https://www.kintegra.org,35.2347343,-81.03147696,HRSA
Changing Lives Matter LLC,,2591 East Main Street,,Lincolnton,NC,28092,,Lincoln,704-240-8097,https://www.changinglivesmatterllc.net,35.4815513,-81.2083469,SU
Changing Lives Matter LLC,,2591 East Main Street,,Lincolnton,NC,28092,,Lincoln,704-240-8097,https://www.changinglivesmatterllc.net,35.4815513,-81.2083469,MH
Kintegra at Belmont Central, Elementary,310 Eagle Rd,,Belmont,NC,28012,3721,,704-836-9137,https://www.kintegra.org,35.24114033,-81.05069264,HRSA
Kintegra at Stuart Cramer, High,101 Lakewood Rd,,Belmont,NC,28012,2973,,704-866-5700,https://www.kintegra.org,35.24544151,-81.05906818,HRSA
Catawba Valley Family, Medicine - Maiden,137 Island Ford Rd,,Maiden,NC,28650,8735,,828-428-2446,https://www.kintegra.org,35.56690987,-81.19398279,HRSA
South Charlotte VA Healthcare Center,Outpatient Clinic,3506 West Tyvola Road,,Charlotte,NC,28208,7201,Mecklenburg,704-329-1300,https://www.va.gov/salisbury-health-care/locations/south-charlotte-va-clinic/,35.1966825,-80.913719,SU
South Charlotte VA Healthcare Center,Outpatient Clinic,3506 West Tyvola Road,,Charlotte,NC,28208,7201,Mecklenburg,704-329-1300,https://www.va.gov/salisbury-health-care/locations/south-charlotte-va-clinic/,35.1966825,-80.913719,MH
Kintegra Mobile Optometry,,1022 Shelton Ave,,Statesville,NC,28677,6826,,704-874-3316,,35.7699184,-80.88475485,HRSA
Kintegra Family Medicine -, Statesville,1022 Shelton Ave,,Statesville,NC,28677,6826,,704-768-2080,https://www.kintegra.org,35.7699184,-80.88475485,HRSA
Kintegra Mobile, Chiropractic,1022 Shelton Ave,,Statesville,NC,28677,6826,,704-874-3316,https://www.kintegra.org,35.7699184,-80.88475485,HRSA
Family First Community Servs LLC,,3705 Latrobe Drive,Suite 340,Charlotte,NC,28211,4823,Mecklenburg,704-364-3989,https://www.familyfirstcommunity.com,35.195993,-80.7965011,MH
Pathways to Life,,3703 Latrobe Drive,Suite 240,Charlotte,NC,28211,,Mecklenburg,252-695-0269,https://www.pwstolife.com,35.1959376,-80.7968117,SU
Pathways to Life,,3703 Latrobe Drive,Suite 240,Charlotte,NC,28211,,Mecklenburg,252-695-0269,https://www.pwstolife.com,35.1959376,-80.7968117,MH
Kintegra at McAdenville, Elementary,275 Wesleyan Dr,,Mc Adenville,NC,28101,9003,,704-836-9117,https://www.kintegra.org,35.25339497,-81.07727141,HRSA
Queen City Treatment Center,,4949 Albemarle Road,Suite A,Charlotte,NC,28205,,Mecklenburg,704-532-4262,https://www.nctreatmentcenters.com,35.2012816,-80.7631398,SU
Treatment Centers LLC,,4949 Albemarle Rd Suite A and B,,Charlotte,NC,28205,,,(704) 532-4262,,35.2012816,-80.7631398,OTP
Atrium Health Addiction Services,Charlotte,447 Billingsley Road,Cottage A,Charlotte,NC,28211,,Mecklenburg,704-344-3290,https://atriumhealth.org/locations/detail/atrium-health-addiction-services-charlotte,35.1922904,-80.8050549,SU
Anuvia Prevention and Recovery Center,,429 Billingsley Road,,Charlotte,NC,28211,,Mecklenburg,704-445-6900,https://www.anuvia.org,35.191346,-80.804779,SU
Anuvia Prevention and Recovery Center,,100 Billingsley Road,,Charlotte,NC,28211,,Mecklenburg,704-376-7447,https://www.anuvia.org,35.1902095,-80.8098636,SU
Anuvia Prevention and Recovery Center,,100 Billingsley Road,,Charlotte,NC,28211,,Mecklenburg,704-376-7447,https://www.anuvia.org,35.1902095,-80.8098636,MH
Thompson Child and Family Focus,Family Services Center,769 Wendover Road,,Charlotte,NC,28211,,Mecklenburg,704-536-0375,https://www.thompsoncff.org,35.1903974,-80.7989752,MH
Dave Cathcart Pediatric, Clinic,769 N Wendover Rd,,Charlotte,NC,28211,1118,,704-316-6561,https://charlottecommunityhealth.org/en/,35.19034018,-80.79902592,HRSA
Kintegra at Holbrook Middle, School,418 S Church St,,Lowell,NC,28098,1806,,704-836-9607,https://www.kintegra.org,35.265495,-81.10582386,HRSA
Monarch Mecklenburg Behavioral Health,BH Mecklenburg,5700 Executive Center Drive,,Charlotte,NC,28212,,Mecklenburg,866-272-7826,https://www.monarchnc.org,35.1999038,-80.7438674,MH
Monarch Mecklenburg Behavioral Health,BH Mecklenburg,5700 Executive Center Drive,,Charlotte,NC,28212,,Mecklenburg,866-272-7826,https://www.monarchnc.org,35.1998739,-80.7438155,SU
Kintegra at South Point, High,906 South Point Rd,,Belmont,NC,28012,9536,,704-836-9612,https://www.kintegra.org,35.2230379,-81.03843587,HRSA
AMG4 Dallas,,824 Lower Dallas Hwy,,Dallas,NC,28034,9368,,704-208-4134,https://www.amitymed.org,35.31626649,-81.16209627,HRSA
Amity Medical Group Inc,,824 Lower Dallas Highway,,Dallas,NC,28034,,Gaston,704-322-4065,https://www.amitymed.org,35.3162141,-81.1620963,SU
Kintegra at Belmont Middle, School (BMS),1020 S Point Rd,,Belmont,NC,28012,8533,,704-836-9611,,35.21944445,-81.03589054,HRSA
Kintegra at North Gaston, High School,1133 Ratchford Dr,,Dallas,NC,28034,6500,,704-922-5285,https://www.kintegra.org,35.33452982,-81.17753741,HRSA
AMG Charlotte Park Drive,,"4651 Charlotte Park Drive, #100",,Charlotte,NC,28217,3037,,704-461-0006,https://amitymed.org,35.1814274,-80.8901196,HRSA
Kintegra at Warlick Academy,,1316 Spencer Mountain Rd,,Gastonia,NC,28054,3045,,704-836-9608,https://www.kintegra.org,35.28220525,-81.13349319,HRSA
Kintegra at Mitchell, Community College,500 W Broad St,,Statesville,NC,28677,5293,,704-878-3200,https://www.kintegra.org,35.78296189,-80.89413051,HRSA
Little Gerald Services,,221 South Tradd Street,,Statesville,NC,28677,,Iredell,980-223-2547,https://www.lgservicesnc.org,35.7839107,-80.8850914,MH
Kintegra at W C Friday, Middle,1221 Ratchford Dr,,Dallas,NC,28034,7599,,704-922-5297,https://www.kintegra.org,35.33399041,-81.18337146,HRSA
Kintegra at Maiden, Elementary,201 N Main Ave,,Maiden,NC,28650,1117,,828-428-8769,https://www.kintegra.org,35.57839086,-81.21083041,HRSA
Kintegra at Brookside, Elementary,1925 Auten Rd,,Gastonia,NC,28054,1111,,704-866-6283,https://www.kintegra.org,35.29373296,-81.15122829,HRSA
Freedom Detox,,1089 X Ray Drive,,Gastonia,NC,28054,,Gaston,980-320-1067,https://www.freedomdetoxnc.com,35.2771484,-81.1378357,SU
Freedom Detox,,1089 X Ray Drive,,Gastonia,NC,28054,,Gaston,980-320-1067,https://www.freedomdetoxnc.com,35.2771484,-81.1378357,MH
Kintegra Family Medicine -, X-Ray Drive,1021 X Ray Dr,,Gastonia,NC,28054,7462,,704-867-2341,https://www.kintegra.org,35.27558111,-81.13802344,HRSA
Kintegra Adult and, Pediatric Medicine - XRay Dr,2721 X Ray Dr,,Gastonia,NC,28054,7491,,704-874-2255,https://www.kintegra.org,35.27685424,-81.14080992,HRSA
Kintegra Mobile Podiatry,,2721 X Ray Dr,,Gastonia,NC,28054,7491,,704-874-3316,https://www.kintegra.org,35.27685424,-81.14080992,HRSA
Kintegra Pediatric, Dentistry - Gastonia,890 Summit Crossing Pl,,Gastonia,NC,28054,2192,,704-874-0377,https://www.kintegra.org,35.27747785,-81.14170142,HRSA
Monarch,BH Gaston,2505 Court Drive,,Gastonia,NC,28054,2140,Gaston,866-272-7826,https://www.monarchnc.org,35.2735651,-81.1376494,MH
Kintegra Mobile Dentistry, Unit South,212 Gamble Dr,,Lincolnton,NC,28092,4421,,704-862-6182,https://www.kintegra.org,35.4697101,-81.23571863,HRSA
Kintegra Family Medicine -, Lincolnton,212 Gamble Dr,,Lincolnton,NC,28092,4421,,704-735-7145,https://www.kintegra.org,35.4697101,-81.23571863,HRSA
Integrated Care of Greater Hickory,ICGH Lincolnton,200 Gamble Drive,,Lincolnton,NC,28092,,Lincoln,704-240-3066,https://www.integratedcarehickory.com,35.4704967,-81.2360281,MH
Monarch,BH Gaston,2505 Court Drive,,Gastonia,NC,28054,2140,Gaston,866-272-7826,https://www.monarchnc.org,35.2733485,-81.137915,SU
Kintegra Family Dentistry -, Lincolnton,111 Doctors,,Lincolnton,NC,28092,,,704-735-2230,https://www.kintegra.org,35.46796574,-81.23640519,HRSA
Kintegra at G E Massey, Elementary,130 Newbold St,,Lincolnton,NC,28092,3906,,704-735-2322,https://www.kintegra.org,35.47794712,-81.23703953,HRSA
Kintegra at Maiden Middle, School,518 N C Ave,,Maiden,NC,28650,1171,,828-438-2326,https://www.kintegra.org,35.58099998,-81.21778521,HRSA
McLeod Centers for Wellbeing,,549 Cox Road,,Gastonia,NC,28054,,,(704) 865-1558,,35.267322,-81.134084,OTP
Caromont Regional Medical Center,Behavioral Health,2525 Court Drive,,Gastonia,NC,28054,,Gaston,704-834-2000 x2965,https://www.caromonthealth.org/services/mental-health-services/,35.271804,-81.1393842,MH
McLeod Centers for Wellbeing,Gastonia,549 Cox Road,,Gastonia,NC,28054,,Gaston,704-332-9001,https://www.mcleodcenters.org,35.267137,-81.1345613,SU
Kintegra at CaroMont Womens, Health - Summit,620 Summit Crossing Pl,,Gastonia,NC,28054,2176,,704-865-2229,https://www.kintegra.org,35.2738886,-81.14403947,HRSA
Kintegra at Pinewood, Elementary - Clt,805 Seneca Pl,,Charlotte,NC,28210,2923,,980-343-5825,https://www.kintegra.org,35.16601359,-80.86431432,HRSA
Kintegra at Maiden High,,600 W Main St,,Maiden,NC,28650,1146,,828-428-8197,https://www.kintegra.org,35.58030101,-81.2239921,HRSA
Kintegra at Carr Elementary,,307 S Pine St,,Dallas,NC,28034,1953,,704-922-3636,https://www.kintegra.org,35.3128911,-81.18344497,HRSA
Senior TLC - Gastonia,,1875 Remount Rd,,Gastonia,NC,28054,7413,,704-874-1903,,35.26876813,-81.14423753,HRSA
Integrated Care of Greater Hickory,ICGH Statesville,523 Brookdale Drive,,Statesville,NC,28677,,Iredell,828-322-5915,https://www.integratedcarehickory.com,35.7978436,-80.8776301,MH
Iredell Psychiatry,,515 Brookdale Drive,,Statesville,NC,28677,4107,,704-380-3620,https://www.kintegra.org,35.79806055,-80.87676346,HRSA
Kintegra Pediatric Medicine, and Kintegra Family Dentistry -Statesville,518 Brookdale Dr,,Statesville,NC,28677,4108,,704-874-1910,https://www.kintegra.org,35.798174,-80.87637479,HRSA
Kintegra Mobile Dentistry, Unit North,518 Brookdale Dr,,Statesville,NC,28677,4108,,833-764-4537,https://www.kintegra.org,35.798174,-80.87637479,HRSA
